V1	V1	t
8.85	5.9	30
8.89	5.94	60
8.91	5.98	90
8.91	6.02	120
8.9	6.05	150
8.86	6.08	180
8.8	6.11	210
8.74	6.13	240
8.66	6.14	270
8.58	6.14	300
8.42	6.14	330
8.33	6.13	360
8.25	6.12	390
8.19	6.1	420
8.17	6.08	450
8.16	6.07	480
8.18	6.05	510
8.21	6.05	540
8.24	6.04	570
8.29	6.04	600
8.35	6.05	630
8.39	6.06	660
8.41	6.07	690
8.45	6.08	720
8.47	6.1	750
8.47	6.13	780
8.45	6.15	810
8.41	6.16	840
8.36	6.18	870
8.29	6.18	900
8.13	6.18	930
8.05	6.17	960
7.99	6.16	990
7.96	6.14	1020
7.95	6.13	1050
7.96	6.11	1080
8	6.1	1110
8.04	6.1	1140
8.09	6.1	1170
8.16	6.11	1200
8.23	6.12	1230
8.3	6.14	1260
8.36	6.16	1290
8.39	6.18	1320
8.4	6.21	1350
8.39	6.23	1380
8.36	6.25	1410
8.32	6.27	1440
8.27	6.28	1470
8.2	6.29	1500
8.09	6.29	1530
8.02	6.28	1560
7.97	6.26	1590
7.95	6.25	1620
7.95	6.23	1650
7.97	6.22	1680
8.01	6.21	1710
8.06	6.2	1740
8.11	6.2	1770
8.18	6.21	1800
8.26	6.23	1830
8.32	6.24	1860
8.38	6.27	1890
8.41	6.3	1920
8.42	6.32	1950
8.41	6.35	1980
8.38	6.37	2010
8.33	6.38	2040
8.27	6.39	2070
8.21	6.39	2100
8.11	6.39	2130
8.06	6.38	2160
8	6.37	2190
7.97	6.35	2220
7.97	6.34	2250
7.98	6.32	2280
8.01	6.31	2310
8.06	6.31	2340
8.11	6.31	2370
8.17	6.31	2400
8.25	6.33	2430
8.31	6.34	2460
8.37	6.37	2490
8.4	6.39	2520
8.41	6.41	2550
8.4	6.44	2580
8.37	6.45	2610
8.33	6.47	2640
8.27	6.48	2670
8.21	6.48	2700
8.12	6.48	2730
8.06	6.47	2760
8	6.45	2790
7.97	6.44	2820
7.96	6.42	2850
7.96	6.4	2880
7.99	6.39	2910
8.03	6.38	2940
8.08	6.38	2970
8.13	6.38	3000
8.2	6.39	3030
8.26	6.4	3060
8.31	6.42	3090
8.34	6.44	3120
8.35	6.46	3150
8.33	6.48	3180
8.31	6.49	3210
8.26	6.51	3240
8.21	6.51	3270
8.15	6.51	3300
8.06	6.51	3330
7.99	6.5	3360
7.93	6.48	3390
7.9	6.47	3420
7.89	6.45	3450
7.9	6.43	3480
7.93	6.42	3510
7.97	6.41	3540
8.02	6.4	3570
8.08	6.41	3600
8.15	6.41	3630
8.21	6.43	3660
8.26	6.44	3690
8.3	6.47	3720
8.31	6.49	3750
8.3	6.51	3780
8.27	6.52	3810
8.23	6.54	3840
8.18	6.54	3870
8.11	6.55	3900
8.01	6.54	3930
7.94	6.53	3960
7.89	6.51	3990
7.86	6.49	4020
7.85	6.47	4050
7.87	6.46	4080
7.9	6.44	4110
7.94	6.43	4140
8	6.43	4170
8.07	6.43	4200
